Surname,Pays,Sexe,Age,Score_Credit,Avoirs,Revenus_annuels,Carte_Platine,Nb_Contrats_Vie,Client_Patrimonial,Anciennete,Resiliation
Siciliano,France,Male,33.0,656.0,287410.04,84272.3,1.0,2.0,0.0,22.0,0
Wei,France,Male,30.0,684.0,10000.0,176947.64,1.0,2.0,,7.0,0
Hale,Spain,Female,22.0,547.0,292574.3,246285.58,1.0,1.0,0.0,22.0,0
Rizzo,Spain,Female,36.0,605.0,,81043.26,,2.0,1.0,28.0,0
Udegbunam,Spain,Male,46.0,842.0,,44536.04,0.0,1.0,0.0,28.0,0
Cary,France,Male,38.0,545.0,186586.26,58605.9,,2.0,1.0,4.0,0
Chiazagomekpere,France,Female,53.0,777.0,10000.0,389985.94,1.0,2.0,,31.0,0
Burke,Germany,Male,34.0,650.0,294786.22,32552.96,1.0,1.0,1.0,13.0,0
Kudryashova,France,Female,28.0,564.0,10000.0,334856.1,1.0,1.0,1.0,4.0,0
Nicholls,France,Female,42.0,712.0,185685.96,194447.18,0.0,1.0,0.0,4.0,0
Ramsbotham,Spain,Female,40.0,583.0,10000.0,238187.46,1.0,2.0,0.0,13.0,0
Zito,France,Male,41.0,678.0,306176.22,38166.240000000005,1.0,1.0,0.0,7.0,0
Hort,France,Female,47.0,572.0,10000.0,82199.4,1.0,2.0,0.0,7.0,0
Chukwunonso,Spain,Female,39.0,773.0,10000.0,374162.9,0.0,2.0,1.0,13.0,0
Wan,Spain,Male,39.0,685.0,10000.0,47652.12,1.0,2.0,1.0,,0
Tai,France,Male,34.0,679.0,331030.74,253808.28,1.0,1.0,0.0,22.0,0
Amaechi,France,Female,47.0,573.0,319087.96,69173.45999999999,1.0,1.0,0.0,25.0,0
Bednall,Spain,Female,34.0,680.0,10000.0,207899.7,1.0,2.0,0.0,22.0,0
Gratton,France,,31.0,629.0,10000.0,197763.5,1.0,2.0,0.0,19.0,0
Osinachi,,Female,38.0,659.0,10000.0,327106.2,1.0,2.0,0.0,10.0,0
Matveyeva,Germany,Female,50.0,410.0,214557.58,189644.96,1.0,2.0,0.0,7.0,0
Ndubuisi,France,Male,25.0,609.0,10000.0,229790.32,0.0,1.0,1.0,31.0,0
Soares,France,Female,72.0,635.0,159625.68,64896.66,0.0,1.0,1.0,13.0,0
Iloerika,,Male,37.0,657.0,175000.56,240521.44,1.0,1.0,1.0,13.0,0
Cameron,Spain,Female,44.0,757.0,10000.0,365057.84,1.0,,0.0,28.0,0
Sandover,France,Female,34.0,501.0,10000.0,64761.98,1.0,1.0,0.0,16.0,0
Tai,Spain,Male,40.0,677.0,10000.0,187895.12,1.0,2.0,0.0,16.0,0
Onyemauchechukwu,France,Female,28.0,692.0,200118.04,98840.36,1.0,2.0,,25.0,0
Conway,France,Female,32.0,544.0,231456.78,39119.240000000005,1.0,1.0,1.0,28.0,0
Chung,Spain,Male,61.0,758.0,10000.0,97964.82,1.0,2.0,1.0,7.0,0
Bray,Germany,,45.0,549.0,297468.02,202808.76,1.0,2.0,1.0,10.0,0
Mancini,France,Female,,429.0,244614.88,58040.98,1.0,2.0,1.0,19.0,0
Ignatieff,,Female,23.0,665.0,297345.8,240294.66,1.0,1.0,1.0,28.0,0
Harriman,France,Male,31.0,554.0,10000.0,395321.1,0.0,2.0,1.0,4.0,0
Read,France,Male,31.0,496.0,10000.0,197426.26,1.0,2.0,0.0,16.0,0
McCane,Spain,Female,31.0,714.0,315853.2,111799.82,,1.0,1.0,19.0,0
Folliero,Spain,Male,43.0,604.0,300163.44,57763.24,1.0,1.0,1.0,7.0,0
Lo Duca,France,Male,34.0,571.0,208650.08,382104.3,0.0,2.0,1.0,4.0,0
Achebe,Germany,Female,41.0,651.0,276865.18,312606.96,0.0,1.0,1.0,,0
Aliyev,Spain,Female,24.0,684.0,168527.8,,0.0,1.0,1.0,28.0,0
Gerasimova,Germany,Female,,531.0,229140.42,354099.68,1.0,2.0,1.0,1.0,0
Anenechi,Spain,Male,31.0,663.0,216860.22,82958.54,0.0,2.0,1.0,13.0,0
Campbell,France,Female,37.0,567.0,10000.0,67381.8,,,1.0,22.0,0
Nwachukwu,France,Male,34.0,528.0,261133.8,363526.54,1.0,1.0,1.0,4.0,0
Royston,Spain,Female,38.0,702.0,10000.0,327054.9,1.0,2.0,,28.0,0
Chineze,Spain,Male,26.0,701.0,177200.48,128390.1,0.0,1.0,1.0,16.0,0
Ifeatu,France,Female,25.0,684.0,10000.0,299956.94,0.0,2.0,1.0,4.0,0
Hunter,France,Male,33.0,563.0,10000.0,147630.1,0.0,2.0,1.0,25.0,0
Landseer,Germany,Male,41.0,579.0,293499.36,28403.06,0.0,1.0,1.0,1.0,0
Demuth,Germany,Female,32.0,747.0,144990.08,164740.74,0.0,2.0,1.0,16.0,0
Schmidt,France,Male,23.0,743.0,230407.54,201166.9,1.0,1.0,0.0,10.0,0
Esomchi,Germany,Male,,599.0,267920.42000000004,90636.66,1.0,2.0,1.0,10.0,0
Chu,France,Male,40.0,457.0,278640.46,,1.0,2.0,0.0,31.0,0
Deleon,,Male,41.0,588.0,222233.12,407533.22,1.0,2.0,0.0,19.0,0
Thompson,France,Male,33.0,660.0,155566.84,372103.98,0.0,1.0,0.0,1.0,0
Quinn,Spain,Female,21.0,701.0,10000.0,62654.84,1.0,2.0,1.0,28.0,0
Chien,,Male,35.0,579.0,10000.0,18920.4,1.0,2.0,0.0,4.0,0
Fleming,Germany,Female,48.0,,265848.5,74405.22,1.0,2.0,,7.0,0
McDonald,France,Female,33.0,708.0,10000.0,40493.66,0.0,2.0,1.0,25.0,0
Hobbs,Germany,Female,25.0,816.0,310710.7,81541.68,,2.0,1.0,,0
Robertson,France,Male,43.0,750.0,237764.62,159128.82,1.0,1.0,1.0,19.0,0
Hs?,Spain,Male,43.0,721.0,187596.68,101221.26,0.0,1.0,0.0,10.0,0
Ricci,Spain,Male,34.0,629.0,10000.0,371190.04,1.0,2.0,1.0,25.0,0
Evans,France,Female,40.0,535.0,10000.0,65379.54,1.0,1.0,1.0,25.0,0
Retana,France,Female,35.0,452.0,,338483.34,1.0,2.0,0.0,22.0,0
Read,France,Male,31.0,496.0,10000.0,197426.26,1.0,2.0,0.0,16.0,0
Piccio,France,Female,42.0,695.0,10000.0,291449.28,0.0,2.0,1.0,1.0,0
Stevens,France,Female,33.0,,158771.96,50328.94,1.0,,0.0,4.0,0
Lucchese,France,Female,37.0,721.0,,151621.6,1.0,2.0,0.0,4.0,0
Chiang,Germany,Female,30.0,685.0,179917.2,398687.44,0.0,2.0,1.0,13.0,0
Chukwuhaenye,France,Male,32.0,621.0,10000.0,347558.94,1.0,2.0,1.0,4.0,0
Ikenna,France,Female,37.0,657.0,201691.2,254436.46,,1.0,0.0,19.0,0
Chikwendu,Spain,Male,34.0,716.0,10000.0,143391.42,1.0,1.0,1.0,28.0,0
Ash,France,,44.0,614.0,10000.0,219860.92,0.0,2.0,1.0,19.0,0
Yusupova,Spain,Male,50.0,621.0,336171.58,272096.72,0.0,,,10.0,0
Obiuto,Germany,Male,30.0,691.0,243855.78,52396.78,1.0,1.0,0.0,22.0,0
Robson,France,Male,38.0,684.0,220139.96,406710.56,1.0,2.0,1.0,16.0,0
Colombo,Germany,Male,27.0,583.0,221814.84,401464.08,1.0,,1.0,13.0,0
Skinner,Germany,Female,59.0,806.0,280592.66,375645.0,1.0,1.0,0.0,1.0,0
McClinton,Spain,Male,34.0,590.0,141624.7,330692.6,0.0,2.0,1.0,1.0,0
Boyle,Spain,Female,31.0,571.0,10000.0,399335.84,1.0,2.0,1.0,10.0,0
Nwachinemelu,France,Male,19.0,,10000.0,16906.8,1.0,2.0,0.0,28.0,0
Cattaneo,France,Male,44.0,645.0,,343414.44,0.0,2.0,1.0,31.0,0
Lysaght,France,Female,35.0,623.0,,212384.16,1.0,2.0,0.0,16.0,0
Dale,France,Female,30.0,752.0,10000.0,219982.56,1.0,2.0,1.0,10.0,0
Cran,Spain,Male,26.0,582.0,141696.72,70298.42,1.0,,0.0,13.0,0
Mancini,Spain,Male,30.0,606.0,370615.46,13828.82,1.0,2.0,1.0,25.0,0
Watt,Germany,Female,46.0,507.0,215570.32,150647.36,1.0,1.0,1.0,25.0,0
Brierly,France,Female,39.0,595.0,251924.26,56610.02,0.0,1.0,0.0,22.0,0
Read,France,Female,26.0,678.0,10000.0,100887.36,1.0,2.0,0.0,4.0,0
Yu,Germany,Female,40.0,670.0,304342.4,149700.08,0.0,1.0,1.0,7.0,0
Chigozie,France,Male,20.0,762.0,288865.1,181213.66,1.0,1.0,1.0,4.0,0
Chigozie,Germany,Female,36.0,677.0,147613.68,76150.48,1.0,1.0,0.0,31.0,0
Shen,France,Female,46.0,499.0,10000.0,156915.1,1.0,2.0,0.0,19.0,0
Bagley,France,Male,37.0,670.0,,406505.76,1.0,2.0,0.0,13.0,0
Hurst,,Female,28.0,,10000.0,312632.74,1.0,2.0,0.0,22.0,0
Nicholas,France,Female,40.0,556.0,10000.0,134225.4,1.0,2.0,0.0,25.0,0
Burns,France,Female,23.0,525.0,10000.0,330498.2,1.0,2.0,0.0,16.0,0
Padovano,Germany,Female,39.0,683.0,105370.94,182038.96,1.0,2.0,1.0,7.0,0
Price,France,Male,51.0,512.0,299906.62,340070.34,1.0,1.0,1.0,19.0,0
Bazhenov,Spain,Male,49.0,746.0,10000.0,30192.5,0.0,2.0,1.0,22.0,0
Ibeabuchi,Spain,Female,37.0,614.0,10000.0,134046.2,1.0,2.0,1.0,28.0,0
Onwuamaeze,France,Female,44.0,633.0,10000.0,69522.58,1.0,2.0,0.0,22.0,0
Stevenson,Germany,Female,23.0,520.0,,85155.32,1.0,2.0,1.0,10.0,0
Spears,Germany,Female,38.0,,257897.7,162106.14,1.0,1.0,0.0,28.0,0
Trentino,,Female,64.0,647.0,192432.0,93600.36,1.0,1.0,1.0,4.0,0
Nebechukwu,Germany,Male,34.0,711.0,,95953.28,1.0,2.0,1.0,13.0,0
Chibueze,Germany,Male,32.0,680.0,360908.0,164699.84,0.0,1.0,1.0,22.0,0
Schwartz,Spain,Female,27.0,655.0,10000.0,226016.1,,2.0,0.0,28.0,0
Stephenson,Spain,Male,36.0,634.0,181992.38,41775.36,1.0,1.0,0.0,7.0,0
Smith,France,Female,73.0,743.0,10000.0,225734.76,0.0,2.0,1.0,19.0,0
Green,France,Female,39.0,662.0,286213.5,49193.46,0.0,1.0,0.0,16.0,0
Ikenna,Germany,Female,36.0,612.0,271401.84,165185.6,0.0,2.0,0.0,7.0,0
Lu,Spain,Male,30.0,663.0,10000.0,212742.1,1.0,3.0,0.0,13.0,0
Combes,,Male,34.0,689.0,340624.54,320991.26,1.0,1.0,0.0,4.0,0
Fiorentino,,Female,25.0,473.0,231332.84,103516.84,0.0,2.0,0.0,19.0,0
Boniwell,France,Male,67.0,756.0,10000.0,196163.74,1.0,3.0,1.0,13.0,0
Duigan,France,Female,30.0,573.0,10000.0,142380.42,1.0,2.0,0.0,19.0,0
Cox,France,Male,69.0,628.0,10000.0,,1.0,2.0,1.0,,0
Genovese,Spain,Male,40.0,830.0,10000.0,173245.04,0.0,2.0,1.0,13.0,0
Olisanugo,France,Male,37.0,650.0,223934.36,58990.06,0.0,1.0,0.0,16.0,0
Watson,France,Male,41.0,620.0,205850.22,180000.64,1.0,1.0,0.0,1.0,0
Murphy,Spain,Male,36.0,703.0,280190.94,297719.32,1.0,1.0,0.0,22.0,0
Le Gallienne,France,Male,37.0,654.0,177137.1,104093.44,1.0,1.0,0.0,19.0,0
Patterson,Spain,Female,31.0,547.0,10000.0,208588.44,0.0,2.0,0.0,28.0,0
Loggia,France,Female,62.0,624.0,260327.24,312823.0,1.0,2.0,1.0,22.0,0
Lei,France,Male,40.0,715.0,10000.0,292718.22,1.0,1.0,1.0,22.0,0
Kepley,France,Male,52.0,,312915.76,91787.22,0.0,1.0,1.0,7.0,0
Mackenzie,Germany,Male,41.0,641.0,218811.08,44768.42,1.0,3.0,0.0,22.0,0
Wilson,Germany,Female,52.0,711.0,300525.08,272946.62,0.0,,1.0,25.0,0
Udinesi,France,Male,37.0,541.0,434628.06,307629.08,0.0,1.0,1.0,28.0,0
Santiago,France,Female,31.0,710.0,10000.0,234578.12,1.0,2.0,1.0,10.0,0
Boyle,Spain,Female,30.0,627.0,10000.0,236816.94,1.0,1.0,1.0,19.0,0
Scott,Germany,Female,35.0,460.0,215485.82,388679.2,1.0,2.0,1.0,25.0,0
Tien,France,Male,34.0,663.0,10000.0,370854.48,1.0,2.0,1.0,22.0,0
Kelly,France,Female,27.0,610.0,329123.86,216762.94,0.0,1.0,1.0,28.0,0
Marcum,Germany,Male,37.0,684.0,286952.82,114734.58,1.0,2.0,1.0,13.0,0
Seleznev,France,Male,46.0,600.0,201004.42,49684.36,0.0,1.0,0.0,31.0,0
Dore,France,Male,39.0,699.0,10000.0,171927.84,1.0,,0.0,28.0,0
Cambage,France,Male,50.0,702.0,10000.0,199899.68,0.0,2.0,0.0,10.0,0
Sopuluchukwu,Spain,Female,30.0,485.0,10000.0,224134.74,1.0,1.0,0.0,22.0,0
Stevenson,France,Female,38.0,729.0,,101559.8,0.0,2.0,0.0,,0
Baranov,France,Female,23.0,695.0,10000.0,293512.64,1.0,2.0,1.0,4.0,0
Ibrahimova,Germany,Male,35.0,562.0,294592.26,364225.4,0.0,1.0,1.0,10.0,0
Achebe,Spain,Male,58.0,652.0,10000.0,350050.86,0.0,2.0,1.0,19.0,0
Whitfield,Spain,Male,30.0,616.0,10000.0,408199.02,1.0,2.0,0.0,,0
Liu,France,Male,33.0,707.0,10000.0,271733.9,0.0,2.0,0.0,7.0,0
Chukwukadibia,France,Male,41.0,735.0,369808.0,284361.9,1.0,1.0,1.0,22.0,0
Beck,France,Male,39.0,699.0,229448.76,370044.78,1.0,1.0,1.0,7.0,0
Niu,Spain,Female,41.0,567.0,10000.0,16829.44,1.0,,0.0,4.0,0
Palmerston,Germany,Male,24.0,497.0,233538.28,121718.54,1.0,2.0,0.0,19.0,0
Chiemezie,Spain,Female,38.0,619.0,249316.98,27293.16,1.0,1.0,1.0,31.0,0
Woods,France,Female,39.0,718.0,10000.0,300710.22,1.0,2.0,1.0,10.0,0
Calabrese,France,Male,30.0,833.0,10000.0,293721.24,1.0,2.0,0.0,4.0,0
Wright,France,Male,29.0,622.0,212973.92,27576.7,1.0,1.0,1.0,22.0,0
Scott,France,Male,38.0,571.0,252810.08,319688.44,1.0,1.0,1.0,4.0,0
Carpenter,Spain,Male,52.0,751.0,10000.0,368583.7,0.0,2.0,1.0,25.0,0
Endrizzi,France,Female,39.0,788.0,280278.66,236172.16,0.0,1.0,1.0,10.0,0
Milne,Spain,Female,28.0,578.0,333185.52,,1.0,1.0,0.0,25.0,0
Bell,France,Male,35.0,452.0,306344.88,18351.36,1.0,1.0,1.0,13.0,0
Fang,France,Female,47.0,662.0,10000.0,268785.5,1.0,2.0,1.0,19.0,0
McLean,France,Male,34.0,634.0,220605.32,256329.94,1.0,1.0,1.0,25.0,0
Thompson,Germany,Male,44.0,563.0,220014.62,405624.32,1.0,2.0,1.0,22.0,0
Hardy,Germany,Female,30.0,733.0,214905.42,53113.9,1.0,1.0,0.0,4.0,0
T'ien,France,Male,40.0,739.0,10000.0,356643.3,0.0,2.0,,13.0,0
Tsai,Germany,Female,42.0,546.0,182703.7,124760.26,1.0,,0.0,28.0,0
Li Fonti,Spain,Male,39.0,667.0,345114.24,92366.04,1.0,1.0,,22.0,0
Shih,France,Female,28.0,499.0,293585.22,54003.82,1.0,1.0,1.0,13.0,0
Chidimma,Germany,Male,42.0,782.0,262856.76,89660.2,1.0,1.0,0.0,22.0,0
Marino,France,Female,35.0,494.0,235454.12,377505.82,1.0,2.0,0.0,28.0,0
Mills,France,Male,44.0,737.0,,125797.16,0.0,2.0,0.0,22.0,0
Ebelegbulam,,Male,47.0,807.0,200241.18,265750.2,0.0,1.0,0.0,4.0,0
Argyle,Spain,Female,34.0,604.0,10000.0,,1.0,2.0,0.0,10.0,0
Cunningham,France,Female,30.0,608.0,181719.52,295460.54,0.0,1.0,0.0,25.0,0
Tang,,Female,29.0,634.0,270072.42000000004,149699.1,0.0,2.0,1.0,25.0,0
Chiabuotu,Spain,Male,59.0,615.0,321532.1,230550.34,1.0,1.0,1.0,13.0,0
Tang,Germany,Male,66.0,749.0,375064.46,400859.84,1.0,2.0,1.0,19.0,0
Hsing,France,Male,22.0,670.0,239982.9,84785.12,1.0,1.0,1.0,7.0,0
Kanayochukwu,France,Male,28.0,756.0,369920.4,189876.16,1.0,1.0,0.0,25.0,0
Somadina,Spain,Female,57.0,511.0,255900.62,372517.52,1.0,1.0,1.0,25.0,0
Ermakova,Germany,Male,23.0,678.0,241127.42,193267.06,1.0,1.0,1.0,31.0,0
Charlton,Germany,Female,40.0,608.0,202404.64,332309.7,0.0,1.0,0.0,22.0,0
Hsing,France,Male,33.0,535.0,276080.64,230599.56,1.0,1.0,1.0,7.0,0
Milani,France,Female,30.0,483.0,10000.0,282713.94,0.0,2.0,0.0,28.0,0
Lord,Spain,Male,24.0,706.0,292157.14,58805.74,1.0,1.0,1.0,7.0,0
Davidson,Spain,Male,39.0,754.0,350369.98,189186.52,1.0,2.0,0.0,19.0,0
Patterson,Spain,Male,36.0,606.0,198307.12,250276.54,0.0,1.0,1.0,1.0,0
Mao,Germany,Male,33.0,530.0,160484.56,213389.34,0.0,1.0,1.0,28.0,0
Vasilyeva,Germany,Male,24.0,660.0,180178.6,,1.0,1.0,1.0,16.0,0
Shelby,France,Male,29.0,777.0,10000.0,258979.76,1.0,2.0,0.0,,0
Onio,France,Male,37.0,673.0,10000.0,37248.04,1.0,1.0,1.0,7.0,0
Mazzanti,France,Male,27.0,718.0,10000.0,62458.48,0.0,2.0,0.0,7.0,0
Findlay,,Male,63.0,566.0,251574.36,114397.68,,2.0,1.0,7.0,0
Holloway,France,Male,38.0,682.0,224384.76,41338.34,1.0,1.0,1.0,,0
Castro,Germany,Female,36.0,702.0,220529.76,115819.74,1.0,2.0,1.0,7.0,0
Lucchese,Germany,,40.0,521.0,279009.56,46164.12,1.0,1.0,0.0,28.0,0
Endrizzi,Germany,Male,28.0,660.0,351780.1,93517.8,1.0,2.0,0.0,7.0,0
Ward,France,Male,68.0,850.0,348890.8,382670.14,1.0,1.0,1.0,16.0,0
Hudson,Germany,Male,43.0,697.0,240743.88,138278.2,1.0,2.0,0.0,22.0,0
Arcuri,Spain,Male,34.0,602.0,206765.44,89084.0,1.0,1.0,0.0,25.0,0
T'ien,France,Female,,693.0,10000.0,327090.5,1.0,2.0,1.0,25.0,0
Milani,France,Male,38.0,748.0,240442.72,151913.5,0.0,1.0,1.0,13.0,0
McLean,France,Female,50.0,639.0,240670.64,,1.0,2.0,1.0,19.0,0
Wright,France,Female,72.0,491.0,192570.44,24065.9,1.0,1.0,1.0,19.0,0
Kornilova,France,Male,29.0,744.0,97008.84,248655.5,1.0,1.0,1.0,4.0,0
Enemuo,Germany,Female,37.0,629.0,81099.62,109352.66,0.0,2.0,0.0,4.0,0
Bruno,France,Male,25.0,619.0,10000.0,301048.72,1.0,1.0,0.0,13.0,0
Wilkinson,France,Male,37.0,777.0,10000.0,263675.44,1.0,1.0,1.0,4.0,0
Cunningham,Spain,Male,41.0,731.0,10000.0,54598.54,1.0,2.0,0.0,13.0,0
Palermo,Germany,Male,27.0,756.0,273798.0,196604.58,1.0,1.0,0.0,4.0,0
Franklin,France,Male,36.0,740.0,354763.6,182960.58,1.0,1.0,1.0,13.0,0
Lung,France,Female,51.0,810.0,10000.0,379049.48,0.0,2.0,1.0,16.0,0
Jackson,France,Female,59.0,717.0,10000.0,351057.26,1.0,2.0,1.0,13.0,0
She,France,Female,41.0,508.0,10000.0,198341.68,1.0,2.0,1.0,16.0,0
Chien,France,Female,55.0,707.0,10000.0,118818.96,0.0,2.0,1.0,4.0,0
Yusupov,France,,44.0,706.0,269211.98,,0.0,1.0,0.0,13.0,0
Pisano,France,Female,32.0,638.0,10000.0,,1.0,2.0,0.0,1.0,0
Hartung,France,Male,32.0,850.0,10000.0,371244.04,1.0,1.0,1.0,13.0,0
Tung,France,Male,23.0,772.0,10000.0,46728.38,1.0,2.0,0.0,7.0,0
Osborne,France,Female,61.0,556.0,244838.7,198307.66,1.0,1.0,1.0,7.0,0
Ch'in,Spain,Male,35.0,687.0,10000.0,362900.38,1.0,2.0,1.0,10.0,0
Peyser,France,Female,34.0,720.0,231434.76,28796.9,1.0,1.0,1.0,19.0,0
Peppin,Spain,Male,31.0,715.0,10000.0,,1.0,1.0,1.0,22.0,0
Degtyarev,Germany,Male,39.0,850.0,259097.98,250760.24,,2.0,1.0,10.0,0
Ashton,France,Female,34.0,767.0,10000.0,199535.54,1.0,2.0,0.0,25.0,0
Vasin,France,Male,26.0,556.0,10000.0,400334.76,1.0,,0.0,13.0,0
Aitken,Germany,Male,22.0,850.0,193121.16,31082.76,0.0,2.0,0.0,22.0,0
He,France,Male,,438.0,10000.0,283719.1,1.0,2.0,0.0,7.0,0
Ferguson,France,Female,42.0,670.0,234667.26,141413.72,1.0,1.0,1.0,19.0,0
Barry,Germany,Male,33.0,490.0,202682.0,226626.68,0.0,2.0,0.0,16.0,0
K'ung,Spain,Male,,724.0,177777.08,78243.62,0.0,1.0,1.0,16.0,0
Macadam,Spain,Male,35.0,758.0,10000.0,200019.2,1.0,2.0,0.0,16.0,0
Hayward,France,Male,49.0,709.0,318688.98,87589.14,1.0,2.0,,13.0,0
Manfrin,France,Female,28.0,777.0,279143.0,246626.76,0.0,1.0,1.0,7.0,0
Zito,Spain,Female,33.0,611.0,10000.0,17459.78,1.0,2.0,1.0,22.0,0
Charlton,Spain,Female,20.0,643.0,276626.68,17931.38,1.0,1.0,1.0,1.0,0
Peng,France,Female,29.0,,10000.0,278924.58,0.0,1.0,1.0,10.0,0
Pai,France,Female,47.0,754.0,381027.34,64877.66,1.0,1.0,0.0,4.0,0
Niu,Germany,Male,30.0,573.0,264813.0,395901.2,1.0,1.0,0.0,25.0,0
Carroll,France,Male,43.0,590.0,10000.0,297256.62,1.0,2.0,1.0,25.0,0
Edments,Spain,Male,33.0,705.0,146847.78,139745.1,1.0,1.0,1.0,22.0,0
Beneventi,France,Female,34.0,729.0,274243.42,220818.62,0.0,1.0,1.0,28.0,0
Knight,France,Male,50.0,593.0,353481.38,51787.22,0.0,1.0,0.0,19.0,0
Costa,France,Female,31.0,492.0,10000.0,,1.0,2.0,1.0,22.0,0
Hawes,Spain,Male,27.0,633.0,10000.0,98017.82,1.0,2.0,0.0,10.0,0
Jenks,France,Female,44.0,691.0,278132.2,405144.82,1.0,,1.0,19.0,0
Huddart,France,Female,38.0,641.0,10000.0,242932.38,1.0,2.0,0.0,10.0,0
Ferguson,France,Female,42.0,670.0,234667.26,141413.72,1.0,1.0,1.0,19.0,0
McNeill,France,Male,32.0,748.0,319475.76,355276.26,1.0,2.0,1.0,16.0,0
Cunningham,France,Female,30.0,608.0,181719.52,295460.54,0.0,1.0,0.0,25.0,0
Bird,Spain,Male,38.0,556.0,240926.32,311359.3,1.0,1.0,,7.0,0
Alekseyeva,,Male,,662.0,10000.0,52994.54,0.0,2.0,1.0,7.0,0
Angelo,Spain,Male,28.0,693.0,300237.66,165484.76,0.0,1.0,1.0,4.0,0
MacDevitt,France,Female,29.0,662.0,10000.0,285016.62,1.0,2.0,0.0,31.0,0
Young,Spain,Female,33.0,585.0,10000.0,,1.0,2.0,0.0,25.0,0
Clements,France,Male,37.0,669.0,261059.1,,1.0,1.0,1.0,4.0,0
Padovesi,France,Female,35.0,577.0,10000.0,60323.22,1.0,,1.0,31.0,0
Mao,Germany,Male,33.0,530.0,160484.56,213389.34,0.0,1.0,1.0,28.0,0
McKay,France,Male,37.0,551.0,10000.0,,1.0,2.0,1.0,10.0,0
Jideofor,France,Female,40.0,707.0,,92105.64,1.0,2.0,0.0,,0
Wu,,Male,48.0,661.0,250641.08,202926.5,0.0,1.0,0.0,10.0,0
Chifley,France,Female,,737.0,185085.78,95153.72,1.0,2.0,1.0,28.0,0
Mann,Spain,Male,51.0,802.0,10000.0,91711.58,0.0,1.0,1.0,22.0,0
Lord,Spain,Male,29.0,730.0,10000.0,38348.18,1.0,2.0,,7.0,0
Bianchi,Germany,Male,40.0,672.0,188051.76,387784.38,1.0,2.0,0.0,13.0,0
Chung,Germany,Male,32.0,602.0,379431.72,237563.98,1.0,2.0,0.0,22.0,0
Nnachetam,France,Male,26.0,,222795.5,217126.46,0.0,1.0,0.0,22.0,0
Tuan,France,Female,51.0,655.0,10000.0,41602.04,0.0,2.0,,10.0,0
Genovese,Spain,Female,37.0,734.0,315520.48,107981.0,1.0,1.0,1.0,1.0,0
Cameron,Germany,Male,41.0,582.0,150698.96,366148.08,0.0,2.0,1.0,19.0,0
Winn,France,Female,40.0,714.0,10000.0,135524.24,1.0,2.0,0.0,1.0,0
Chapman,France,Male,39.0,690.0,,331065.76,1.0,2.0,,,0
Chambers,France,,29.0,837.0,10000.0,93732.52,1.0,2.0,1.0,,0
Flannery,Germany,Male,39.0,796.0,182701.74,220161.06,0.0,,0.0,16.0,0
Power,France,Male,,701.0,270183.0,250062.58,1.0,1.0,1.0,25.0,0
Capon,France,,34.0,850.0,10000.0,115592.62,0.0,1.0,1.0,19.0,0
Adams,France,,28.0,620.0,10000.0,409818.64,1.0,2.0,1.0,25.0,0
Herbert,Spain,Male,61.0,846.0,10000.0,202404.88,1.0,2.0,1.0,1.0,0
Rose,France,Female,31.0,674.0,10000.0,267908.1,1.0,1.0,0.0,4.0,0
Madueke,Spain,Female,45.0,567.0,324641.02,134387.84,1.0,1.0,0.0,4.0,0
Chin,France,Female,31.0,776.0,10000.0,234699.02,1.0,2.0,1.0,7.0,0
Forbes,France,Male,36.0,746.0,264314.08,321400.3,1.0,1.0,1.0,28.0,0
Hao,Spain,Female,19.0,762.0,10000.0,121000.34,1.0,2.0,0.0,19.0,0
Godfrey,Spain,Male,,675.0,118196.36,118957.04,0.0,2.0,1.0,10.0,0
Collins,France,Male,34.0,618.0,279909.06,313908.78,1.0,1.0,1.0,16.0,0
Simmons,Spain,Female,,488.0,291106.92,34880.880000000005,0.0,1.0,0.0,28.0,0
Cremonesi,France,,28.0,581.0,218735.0,69875.5,1.0,1.0,1.0,10.0,0
Johnston,France,Male,40.0,571.0,10000.0,155698.58,0.0,2.0,0.0,16.0,0
Tseng,Spain,Female,39.0,815.0,10000.0,180335.76,1.0,,1.0,19.0,0
Yao,Germany,Female,30.0,,,211375.34,1.0,2.0,1.0,1.0,0
Russo,Spain,Female,53.0,606.0,228660.12,161720.02,,1.0,1.0,4.0,0
Fantin,Germany,Male,34.0,709.0,306750.38,53042.76,1.0,2.0,1.0,13.0,0
Bellew,France,Male,28.0,727.0,10000.0,49306.16,0.0,2.0,1.0,16.0,0
Hansen,Germany,Male,32.0,850.0,293654.66,308917.46,1.0,2.0,1.0,28.0,0
Arrington,France,Male,34.0,778.0,288128.12,,0.0,2.0,0.0,16.0,0
Chigolum,Germany,Female,33.0,631.0,256493.4,235375.14,0.0,1.0,0.0,13.0,0
Upchurch,Germany,Female,35.0,597.0,272202.08,395705.34,1.0,1.0,1.0,25.0,0
Curtis,,Male,44.0,752.0,177740.66,367444.48,1.0,1.0,0.0,19.0,0
Thomas,,Male,64.0,445.0,283541.34,97356.12,0.0,1.0,1.0,7.0,0
Chao,Spain,Female,,659.0,10000.0,81402.12,1.0,2.0,1.0,28.0,0
Pisano,France,Female,25.0,718.0,,,1.0,2.0,0.0,22.0,0
Obiuto,France,Female,53.0,571.0,10000.0,66091.54000000001,1.0,2.0,0.0,7.0,0
Moran,Spain,Female,48.0,470.0,291152.22,243942.1,1.0,1.0,1.0,19.0,0
